song_id,artist,title,period,genre,gold_theme,llm_theme,gold_emotion,llm_emotion,gold_values,llm_values
645b9d728715,Elitni odredi,Kao kokain,savremeno,hip_hop_rep,hedonizam/provod,ljubav,pozitivno,mešano,"zavisnost, destruktivna strast","opsesija, intenzivna privlačnost, ekskluzivnost"
3c7b1f520062,Gru,Adrenalin džanki,savremeno,hip_hop_rep,hedonizam/provod,identitet/domovina,pozitivno,pozitivno,"potraga za uzbuđenjem, življenje na ivici","buntovništvo, samopouzdanje, transcendencija, spiritualna zaštita"
ae58cbe73156,Rasta,Bili smo klinci (ft. Vice),savremeno,hip_hop_rep,raskid/tuga,raskid/tuga,mešano,negativno,"žal za mladošću, nostalgija, iskrenost","neuzajamljena ljubav, nostalgija, žal za izgubljenom nevinom ljubavlju"
a620df8818a0,Rasta,Kasno je,savremeno,hip_hop_rep,raskid/tuga,ljubav,negativno,negativno,"kajanje, prihvatanje neizbežnog, propuštena prilika","patnja od neobjašnjenog raskida, beznadežna čežnja, patnja bez leka"
adeacc5f482b,Gru,Samo seks Srbina spasava,savremeno,hip_hop_rep,hedonizam/provod,ljubav,pozitivno,mešano,"humor, sloboda, uživanje u životu","eskapizam, zavisnost od partnera, izlazak iz frustracije kroz vezu"
ae9af4b83e0e,Severina,Šta to ona ima što ja nemam,savremeno,pop,raskid/tuga,ljubav,negativno,negativno,"ljubomora, povređena sujeta, neverstvo","nesamopouzdanje, nejednakovrednost u odnosu, neprihvaćenost"
3ac27ea17085,Severina,"Noću, danju",savremeno,pop,ljubav,raskid/tuga,pozitivno,negativno,"predanost, bezuslovna ljubav, zaljubljenost","žrtva manipulacije, bolna neizvesnost, izgubljena ženstvenost"
024121ae0deb,Dado Polumenta,Činim sve,savremeno,pop,ljubav,ljubav,pozitivno,mešano,"požrtvovanost, odanost, potpuna posvećenost","nemoć pred ljubavlju, iskren osjećaj, sudbina"
3026e290e191,Severina,Gardelin,savremeno,pop,ljubav,ljubav,mešano,mešano,"čežnja, ufanje, melankolija","nežnost, odanost, utešta, nostalgia"
7e5c282ad831,Severina,"Sve što imam, to si ti",savremeno,pop,ljubav,ljubav,pozitivno,pozitivno,"bezuslovna ljubav, vernost, pripadanje","apsolutna posvećenost, ponos u vezi, idealizacija partnera"
